,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0007275,42,4,8,2,1,20,22,10,14
GO:0009653,24,0,2,0,0,10,11,4,4
GO:0048736,0,0,0,0,0,0,1,0,0
GO:0035107,0,0,0,0,0,0,1,0,0
GO:0043232,35,4,4,0,0,16,27,8,15
GO:0043228,35,4,4,0,0,16,27,8,15
GO:0005856,13,1,3,0,0,8,12,6,9
GO:0015630,11,0,1,0,0,5,8,4,8
GO:0005815,8,0,1,0,0,4,5,3,8
GO:0016787,11,1,2,1,0,4,7,3,0
GO:0050896,48,5,8,1,0,39,28,7,9
GO:0005654,37,0,8,1,0,18,28,6,8
GO:0005730,4,0,2,0,0,5,5,1,2
GO:0150063,6,0,0,0,0,3,2,2,1
GO:0120039,5,0,0,0,0,2,3,1,1
GO:0090596,5,0,0,0,0,2,1,1,0
GO:0061541,2,0,0,0,0,1,0,0,0
GO:0048880,6,0,0,0,0,3,2,2,1
GO:0048869,26,0,3,3,0,13,15,2,9
GO:0048858,5,0,0,0,0,2,3,1,1
GO:0048812,5,0,0,0,0,2,3,1,1
GO:0048749,2,0,0,0,0,1,1,0,0
GO:0048731,38,4,3,2,0,19,16,6,13
GO:0048699,6,0,1,0,0,1,2,1,1
GO:0048667,5,0,0,0,0,2,3,1,1
GO:0048666,7,0,0,0,0,4,3,1,2
GO:0048592,5,0,0,0,0,2,1,1,0
GO:0048513,39,2,9,0,0,17,21,5,12
GO:0048468,16,0,0,1,0,10,7,2,6
GO:0046530,4,0,0,0,0,1,1,0,0
GO:0042462,2,0,0,0,0,1,0,0,0
GO:0042461,2,0,0,0,0,1,0,0,0
GO:0042052,2,0,0,0,0,1,0,0,0
GO:0042051,2,0,0,0,0,1,0,0,0
GO:0032990,6,0,0,0,0,2,4,1,1
GO:0032989,6,0,0,0,0,3,4,1,1
GO:0031175,4,0,0,0,0,1,2,1,1
GO:0030182,6,0,1,0,0,1,2,1,1
GO:0030154,26,0,3,2,0,13,13,2,9
GO:0022008,6,0,1,0,0,1,2,1,1
GO:0009887,12,0,0,0,0,6,3,2,1
GO:0008594,2,0,0,0,0,1,0,0,0
GO:0007423,8,0,0,0,0,4,2,2,2
GO:0007399,17,0,2,0,0,5,5,2,4
GO:0007017,5,3,0,1,0,1,5,1,2
GO:0007010,8,3,1,0,0,4,3,0,0
GO:0001754,4,0,0,0,0,1,1,0,0
GO:0001751,2,0,0,0,0,1,1,0,0
GO:0001745,2,0,0,0,0,1,1,0,0
GO:0001654,6,0,0,0,0,3,2,2,1
GO:0000904,6,0,0,0,0,2,3,1,1
GO:0000902,6,0,0,0,0,3,3,1,1
GO:0000226,3,1,0,0,0,1,2,0,0
GO:0099513,1,2,0,0,0,3,3,0,0
GO:0099512,3,0,0,0,0,4,4,0,0
GO:0099081,3,0,0,0,0,4,4,0,0
GO:0099080,8,0,0,0,0,4,6,0,0
GO:0097447,2,0,0,0,0,1,0,0,0
GO:0043005,6,0,0,0,0,3,1,2,1
GO:0036477,2,0,0,0,0,1,0,0,0
GO:0030425,2,0,0,0,0,1,0,0,0
GO:0030424,3,0,0,0,0,2,1,0,0
GO:0005881,1,0,0,0,0,1,0,0,0
GO:0005874,1,0,0,0,0,1,1,0,0
GO:1990837,4,0,1,0,0,5,1,4,1
GO:0140297,7,0,2,0,0,5,3,2,1
GO:0140110,9,0,3,0,0,10,5,1,1
GO:0061629,5,0,1,0,0,1,3,1,0
GO:0043565,14,3,3,0,0,6,6,4,1
