,exon_skipping,alternative_donor_site,alternative_acceptor_site,intron_retention,mutually_exclusive_exon,alternative_first_exon,alternative_last_exon,mutually_exclusive_exon-alternative_first_exon,mutually_exclusive_exon-alternative_last_exon
GO:0099080,21,4,3,4,3,19,14,12,8
GO:0097447,3,0,1,0,0,9,6,5,3
GO:0043005,8,0,4,0,0,12,7,8,3
GO:0036477,2,0,1,0,0,6,6,4,3
GO:0030425,3,0,1,0,0,9,6,5,3
GO:0030424,4,0,3,0,0,8,7,7,3
GO:0005881,3,0,0,0,0,3,0,0,0
GO:0005874,6,0,0,4,0,6,4,7,2
GO:1990837,47,11,17,2,1,28,26,13,20
GO:0140297,16,5,1,2,2,2,5,1,5
GO:0140110,51,9,23,3,3,18,22,13,19
GO:0061629,11,2,1,0,2,2,4,1,3
GO:0043565,53,9,13,3,1,26,28,12,19
GO:0008134,17,6,2,2,2,4,8,3,5
GO:0003713,14,6,2,0,0,8,3,2,4
GO:0003712,14,6,2,0,0,8,3,3,4
GO:0003690,48,10,17,2,1,27,25,12,20
GO:0001067,42,7,12,2,1,19,17,6,17
GO:0000987,43,3,14,0,2,18,16,8,15
GO:0000978,42,3,12,0,2,18,13,8,15
GO:0000977,47,4,17,2,3,21,17,8,18
GO:0000976,42,7,12,2,1,19,17,6,17
GO:0098827,15,2,2,2,0,3,15,0,8
GO:0042175,19,1,2,2,0,4,14,0,8
GO:0031984,22,4,5,1,3,6,22,4,9
GO:0031090,81,12,17,4,0,33,56,16,26
GO:0012505,121,20,42,7,4,50,79,30,33
GO:0005789,18,2,2,2,0,4,15,0,8
GO:0005783,37,4,13,2,0,9,26,9,17
GO:0042169,3,0,0,0,0,0,1,1,0
GO:0019904,33,1,7,0,0,9,8,4,4
GO:0019901,13,3,3,0,0,10,10,4,4
GO:0019900,18,5,4,0,0,11,14,4,5
GO:0019899,73,11,9,1,3,37,31,12,19
GO:1903038,2,0,0,0,0,1,1,1,1
GO:1903037,21,1,2,1,0,4,10,5,11
GO:1902532,13,3,4,1,0,4,5,1,1
GO:1902531,44,8,11,6,0,25,25,14,18
GO:0071901,1,0,0,0,0,0,0,1,0
GO:0071900,3,3,0,0,0,2,3,2,2
GO:0065009,46,5,8,3,1,21,22,6,10
GO:0051716,168,23,37,6,4,56,104,34,40
GO:0051348,4,0,0,0,0,7,1,1,0
GO:0051338,13,3,0,0,0,10,9,3,4
GO:0051250,3,0,0,0,0,1,1,1,1
GO:0051249,30,1,5,1,0,5,14,4,11
GO:0051248,14,6,3,1,0,14,8,6,6
GO:0051246,53,10,13,5,0,32,28,8,16
GO:0051241,39,7,7,1,0,3,18,17,9
GO:0051239,100,16,18,1,2,27,51,23,19
